sim_time,frame,route_index,x,y,z,roll,pitch,yaw,speed_mps
45831.34667604574,2677775,1,20.45281410217285,13.196136474609375,0.0018154525896534324,-0.00021362301777116954,0.00019807547505479306,-179.84078979492188,0.0002760219831909192
45831.44667604723,2677776,1,20.45281410217285,13.196136474609375,0.0018413924844935536,-9.155272709904239e-05,8.879245433490723e-05,-179.84078979492188,0.00022480965432262147
45831.54667604872,2677777,1,20.450450897216797,13.196922302246094,0.0018392180791124701,0.00624838937073946,0.0034424150362610817,-179.88604736328125,0.25114996811858714
45831.64667605021,2677778,1,20.369367599487305,13.231009483337402,0.0015877151163294911,0.08860474079847336,0.048016227781772614,178.57325744628906,1.3500653454706673
45831.7466760517,2677779,1,20.221694946289062,13.302681922912598,0.0015037155244499445,0.11675839871168137,0.06311094760894775,175.79458618164062,1.9690631391344022
45831.84667605319,2677780,1,20.038480758666992,13.40455436706543,0.0015449904603883624,0.12032164633274078,0.0564446784555912,172.25279235839844,2.3653568246751147
45831.94667605468,2677781,1,19.83383560180664,13.535855293273926,0.001612815773114562,0.12021680921316147,0.045086074620485306,168.15087890625,2.6759999379196064
45832.04667605617,2677782,1,19.606218338012695,13.69310188293457,0.001644134521484375,0.10286304354667664,0.039833661168813705,163.94940185546875,3.0069004243729256
45832.14667605766,2677783,1,19.35271644592285,13.874316215515137,0.0016533279558643699,0.08440542221069336,0.03830369934439659,159.9214324951172,3.338788612892678
45832.24667605915,2677784,1,19.0738525390625,14.079472541809082,0.0016555022448301315,0.06935219466686249,0.03798950836062431,156.19650268554688,3.664124299586194
45832.34667606064,2677785,1,18.77037811279297,14.308128356933594,0.0016548538114875555,0.05558216944336891,0.03809879347681999,152.8833770751953,3.9823126930505053
45832.44667606213,2677786,1,18.442224502563477,14.558609008789062,0.0016535186441615224,0.040371619164943695,0.03835150972008705,150.09429931640625,4.29243911199542
45832.54667606362,2677787,1,18.094114303588867,14.823366165161133,0.0016878127353265882,0.018730491399765015,0.032484378665685654,147.9871063232422,4.4105409538754685
45832.64667606511,2677788,1,17.74765396118164,15.079495429992676,0.0018047713674604893,-0.010589599609375,0.012540226802229881,146.75140380859375,4.19524991279158
45832.7466760666,2677789,1,17.414440155029297,15.315103530883789,0.0019021987682208419,-0.0284728966653347,-0.004029811359941959,146.24530029296875,4.0164747456841265
45832.84667606809,2677790,1,17.09089469909668,15.544734001159668,0.0019262313144281507,-0.012725830078125,-0.008121094666421413,145.8092041015625,3.9579068885514297
45832.94667606958,2677791,1,16.762920379638672,15.779105186462402,0.001877593924291432,-0.00653076171875,0.00015709434228483588,145.44189453125,4.110768337635544
45833.04667607107,2677792,3,16.413724899291992,16.012638092041016,0.0018273924943059683,-0.0383911095559597,0.008701660670340061,145.73101806640625,4.255093067039426
45833.14667607256,2677793,3,16.051679611206055,16.22838020324707,0.0018587493104860187,-0.0697936937212944,0.0033741132356226444,146.8084259033203,4.15250305997637
45833.24667607405,2677794,4,15.689785957336426,16.411495208740234,0.001921157818287611,-0.09545896202325821,-0.007233169861137867,148.6510772705078,4.011200562694429
45833.34667607554,2677795,4,15.326200485229492,16.55934715270996,0.0019539641216397285,-0.1164550632238388,-0.01282026432454586,151.20738220214844,3.9377755542967265
45833.44667607703,2677796,5,14.948702812194824,16.672622680664062,0.0019307708134874701,-0.1406555026769638,-0.00887924525886774,154.53662109375,4.047191143639644
45833.54667607852,2677797,5,14.550142288208008,16.747020721435547,0.0019044112414121628,-0.1673889011144638,-0.004364490509033203,158.73165893554688,4.183164368910378
45833.64667608001,2677798,5,14.141132354736328,16.772558212280273,0.0019305419409647584,-0.1896972805261612,-0.008824603632092476,163.76405334472656,4.169971099571194
45833.7466760815,2677799,6,13.733917236328125,16.764585494995117,0.001949958736076951,-0.1485595554113388,-0.012267018668353558,168.52529907226562,4.118531029028272
45833.84667608299,2677800,6,13.331717491149902,16.74236488342285,0.001956100342795253,-0.0984496995806694,-0.013243735767900944,172.45750427246094,4.056880949834737
45833.94667608448,2677801,7,12.929570198059082,16.71310806274414,0.0019300079438835382,-0.060791000723838806,-0.008790452964603901,175.58998107910156,4.088640294990508
45834.04667608597,2677802,7,12.518511772155762,16.68166732788086,0.0018848800100386143,-0.031951904296875,-0.001072339597158134,177.97886657714844,4.176784335249325
45834.14667608746,2677803,7,12.101771354675293,16.653512954711914,0.0018722533714026213,-0.003936766181141138,0.001072339597158134,179.58145141601562,4.162810907714469
45834.24667608895,2677804,8,11.691987991333008,16.635475158691406,0.0019002532353624701,0.024616019800305367,-0.0036609810777008533,-179.66629028320312,4.050001683235864
45834.34667609044,2677805,8,11.292719841003418,16.634016036987305,0.0019205474527552724,0.05186767503619194,-0.00717169838026166,-179.774658203125,3.9778862945698794
45834.44667609193,2677806,9,10.88917350769043,16.639442443847656,0.0018804168794304132,0.03811991587281227,-0.00036883019492961466,179.9427032470703,4.108645679702067
45834.54667609342,2677807,9,10.469500541687012,16.6486759185791,0.0018318557413294911,0.02983313426375389,0.00795033946633339,179.59292602539062,4.248197664117918
45834.64667609491,2677808,9,10.047951698303223,16.659162521362305,0.0018566512735560536,0.017653649672865868,0.0037224527914077044,179.30648803710938,4.154362154790768
45834.7466760964,2677809,10,9.639638900756836,16.662248611450195,0.001904563861899078,-0.00802612118422985,-0.004460113123059273,179.41477966308594,4.03247430318569
45834.84667609789,2677810,10,9.240744590759277,16.66886329650879,0.001919441157951951,0.00819499883800745,-0.006987283006310463,179.2923126220703,3.9852974644907233
45834.94667609938,2677811,11,8.835206985473633,16.671974182128906,0.0018728637369349599,-0.007598877884447575,0.000956226431299001,179.3893280029297,4.135396518261743
45835.04667610087,2677812,11,8.412801742553711,16.676851272583008,0.0018265914404764771,0.0027067463379353285,0.008858755230903625,179.3606414794922,4.264859425429468
45835.14667610236,2677813,12,7.991702079772949,16.679189682006836,0.0018642806680873036,-0.006500244606286287,0.002438377356156707,179.46731567382812,4.13118839857141
45835.24667610385,2677814,12,7.585702896118164,16.68227767944336,0.0019117736956104636,0.0005800247308798134,-0.005648565944284201,179.48513793945312,4.019719333791414
45835.34667610534,2677815,12,7.18528938293457,16.685752868652344,0.0019106674008071423,0.00025212528998963535,-0.005491471849381924,179.49000549316406,4.0231166450042855
45835.44667610683,2677816,13,6.774213790893555,16.686500549316406,0.0018568419618532062,-0.006530760321766138,0.0036883018910884857,179.61415100097656,4.196746775563276
45835.54667610832,2677817,13,6.347855091094971,16.688344955444336,0.0018254851456731558,0.00032922771060839295,0.009029509499669075,179.64466857910156,4.275819133604252
45835.64667610981,2677818,14,5.929111003875732,16.688880920410156,0.0018820571713149548,-0.0038146967999637127,-0.0006147170206531882,179.73179626464844,4.089306146763688
45835.7466761113,2677819,14,5.527437686920166,16.689659118652344,0.0019253158243373036,-0.00024414058134425431,-0.007964000105857849,179.77040100097656,3.9905839978838564
45835.84667611279,2677820,14,5.125789165496826,16.69061279296875,0.0018993377452716231,-0.00018310546875,-0.0035721887834370136,179.79556274414062,4.067748959269039
45835.94667611428,2677821,15,4.710108280181885,16.69029998779297,0.0018453978700563312,-0.0031738276593387127,0.005655396264046431,179.8699951171875,4.222746280430923
45836.04667611577,2677822,15,4.286811828613281,16.69043731689453,0.001844711252488196,3.395670137251727e-05,0.005730528384447098,179.89752197265625,4.201939368888028
45836.14667611726,2677823,16,3.874176025390625,16.690017700195312,0.0018951415549963713,-0.0017089842585846782,-0.0028413585387170315,179.94537353515625,4.055453296666687
