index,x,y,z,yaw
241,-110.68648529052734,39.71051025390625,0.0,90.6422348022461
242,-110.69769287109375,40.710445404052734,0.0,90.6422348022461
243,-110.70890045166016,41.710384368896484,0.0,90.6422348022461
244,-110.72010803222656,42.71031951904297,0.0,90.6422348022461
245,-110.73299407958984,43.86024475097656,0.0,90.6422348022461
246,-110.73299407958984,43.86024475097656,0.0,90.6422348022461
247,-110.74420928955078,44.86018371582031,0.0,90.6422348022461
248,-110.75541687011719,45.86012268066406,0.0,90.6422348022461
249,-110.7666244506836,46.86005783081055,0.0,90.6422348022461
250,-110.77783203125,47.85999298095703,0.0,90.6422348022461
251,-110.7890396118164,48.85993194580078,0.0,90.6422348022461
252,-110.80024719238281,49.85987091064453,0.0,90.6422348022461
253,-110.81146240234375,50.859806060791016,0.0,90.6422348022461
254,-110.82266998291016,51.8597412109375,0.0,90.6422348022461
255,-110.83387756347656,52.85968017578125,0.0,90.6422348022461
256,-110.84508514404297,53.859619140625,0.0,90.6422348022461
257,-110.85629272460938,54.859554290771484,0.0,90.6422348022461
258,-110.86750030517578,55.859493255615234,0.0,90.6422348022461
259,-110.87871551513672,56.85942840576172,0.0,90.6422348022461
260,-110.88992309570312,57.85936737060547,0.0,90.6422348022461
261,-110.90113067626953,58.85930633544922,0.0,90.6422348022461
262,-110.91233825683594,59.8592414855957,0.0,90.6422348022461
263,-110.92354583740234,60.85917663574219,0.0,90.6422348022461
264,-110.93475341796875,61.85911560058594,0.0,90.6422348022461
265,-110.94596862792969,62.85905456542969,0.0,90.6422348022461
266,-110.9571762084961,63.85898971557617,0.0,90.6422348022461
267,-110.9683837890625,64.85892486572266,0.0,90.6422348022461
268,-110.9795913696289,65.8588638305664,0.0,90.6422348022461
269,-110.99079895019531,66.85880279541016,0.0,90.6422348022461
270,-111.00201416015625,67.8587417602539,0.0,90.6422348022461
271,-111.01322174072266,68.85867309570312,0.0,90.6422348022461
272,-111.02442932128906,69.85861206054688,0.0,90.6422348022461
273,-111.03563690185547,70.85855102539062,0.0,90.6422348022461
274,-111.04684448242188,71.85848999023438,0.0,90.6422348022461
275,-111.05805206298828,72.8584213256836,0.0,90.6422348022461
276,-111.06926727294922,73.85836029052734,0.0,90.6422348022461
277,-111.08047485351562,74.8582992553711,0.0,90.6422348022461
278,-111.0916519165039,75.86054229736328,0.0,450.5664978027344
279,-111.09461975097656,76.8849868774414,0.0,449.7657165527344
280,-111.0832748413086,77.90937805175781,0.0,448.9648742675781
281,-111.05760192871094,78.93350982666016,0.0,448.1640930175781
282,-111.01763153076172,79.9571762084961,0.0,447.3632507324219
283,-110.96334838867188,80.98019409179688,0.0,446.56243896484375
284,-110.89478302001953,82.0023422241211,0.0,445.7616271972656
285,-110.81192779541016,83.02344512939453,0.0,444.9608154296875
286,-110.7148208618164,84.04327392578125,0.0,444.1600036621094
287,-110.60346221923828,85.06166076660156,0.0,443.35919189453125
288,-110.47787475585938,86.07838439941406,0.0,442.5583801269531
289,-110.33810424804688,87.09325408935547,0.0,441.757568359375
290,-110.18415069580078,88.10607147216797,0.0,440.95672607421875
291,-110.01605987548828,89.11663818359375,0.0,440.15594482421875
292,-109.83386993408203,90.12476348876953,0.0,439.3551025390625
293,-109.6375961303711,91.13023376464844,0.0,438.5543212890625
294,-109.42729187011719,92.13286590576172,0.0,437.75347900390625
295,-109.20299530029297,93.13246154785156,0.0,436.95269775390625
296,-108.96475219726562,94.12882232666016,0.0,436.15185546875
297,-108.71260833740234,95.12175750732422,0.0,435.35101318359375
298,-108.44660186767578,96.11107635498047,0.0,434.55023193359375
299,-108.16680908203125,97.09657287597656,0.0,433.7493896484375
300,-107.87326049804688,98.07807159423828,0.0,432.9486083984375
301,-107.56602478027344,99.05536651611328,0.0,432.14776611328125
302,-107.24516296386719,100.02827453613281,0.0,431.34698486328125
303,-106.91072845458984,100.99659729003906,0.0,430.546142578125
304,-106.56278991699219,101.96015167236328,0.0,429.7453308105469
305,-106.20142364501953,102.91875457763672,0.0,428.94451904296875
306,-105.82670593261719,103.87220764160156,0.0,428.1437072753906
307,-105.43868255615234,104.8203353881836,0.0,427.3428955078125
308,-105.0374526977539,105.76294708251953,0.0,426.5420837402344
309,-104.62308502197266,106.69985961914062,0.0,425.74127197265625
310,-104.19566345214844,107.6308822631836,0.0,424.9404602050781
311,-103.7552719116211,108.55584716796875,0.0,424.1396484375
312,-103.302001953125,109.47456359863281,0.0,423.3388366699219
313,-102.83592987060547,110.38685607910156,0.0,422.53802490234375
314,-102.3571548461914,111.29254913330078,0.0,421.7372131347656
315,-101.86576080322266,112.19145202636719,0.0,420.9364013671875
316,-101.36185455322266,113.08341217041016,0.0,420.1355895996094
317,-100.84554290771484,113.9682388305664,0.0,419.33477783203125
318,-100.31689453125,114.84575653076172,0.0,418.533935546875
319,-99.77605438232422,115.7157974243164,0.0,417.733154296875
320,-99.22309112548828,116.57820129394531,0.0,416.93231201171875
321,-98.65813446044922,117.43279266357422,0.0,416.13153076171875
322,-98.0678939819336,118.29047393798828,0.0,54.783775329589844
